CT,3858244,3858244-1
CA,3858247,3858247-1
CA,3858252,3858252-1
CA,3858254,3858254-1
CT,3858257,3858257-1
CA,3858258,3858258-1
OK,3858275,3858275-1
CA,3858281,3858281-1
CA,3858282,3858282-1
CT,3858290,3858290-1
CA,3858291,3858291-1
CA,3858304,3858304-1
MN,3858306,3858306-1
CT,3858315,3858315-1
CA,3858317,3858317-1
CA,3858321,3858321-1
CA,3858323,3858323-1
OK,3858326,3858326-1
CA,3858328,3858328-1
CA,3858332,3858332-1
CA,3858339,3858339-1
CA,3858348,3858348-1
CA,3858349,3858349-1
CA,3858360,3858360-1
CA,3858368,3858368-1
WA,3858371,3858371-1
CA,3858372,3858372-1
CA,3858374,3858374-1
CA,3858394,3858394-1
CA,3858401,3858401-1
CA,3858405,3858405-1
MN,3858408,3858408-1
WA,3858418,3858418-1
CT,3858423,3858423-1
CA,3858435,3858435-1
CT,3858461,3858461-1
OK,3858464,3858464-1
OK,3858467,3858464-1
CA,3858479,3858479-1
CA,3858480,3858480-1
CA,3858489,3858489-1
MT,3858496,3858496-1
WA,3858498,3858498-1
CA,3858499,3858499-1
CA,3858500,3858500-1
CA,3858509,3858509-1
MN,3858514,3858514-1
CA,3858524,3858524-1
CA,3858531,3858531-1
CA,3858541,3858541-1
CA,3858546,3858546-1
CA,3858547,3858547-1
CA,3858555,3858555-1
WV,3858566,3858566-1
CA,3858569,3858569-1
CA,3858574,3858574-1
CA,3858577,3858577-1
CA,3858580,3858580-1
CA,3858582,3858580-1
CT,3858588,3858588-1
MT,3858597,3858597-1
CT,3858602,3858602-1
CA,3858607,3858607-1
CA,3858611,3858611-1
CA,3858615,3858615-1
CA,3858618,3858618-1
CA,3858620,3858620-1
MN,3858638,3858638-1
MN,3858641,3858641-1
MN,3858646,3858646-1
OK,3858649,3858649-1
OK,3858655,3858655-1
CT,3858676,3858676-1
CA,3858677,3858677-1
CA,3858688,3858688-1
CA,3858693,3858693-1
CT,3858719,3858719-1
CA,3858725,3858725-1
CA,3858726,3858726-1
CA,3858739,3858739-1
CA,3858747,3858747-1
CA,3858752,3858752-1
CT,3858762,3858762-1
CA,3858767,3858767-1
OK,3858769,3858769-1
CA,3858770,3858770-1
CA,3858774,3858774-1
CA,3858784,3858784-1
MN,3858793,3858793-1
CA,3858804,3858804-1
CA,3858832,3858832-1
CA,3858836,3858836-1
CA,3858839,3858839-1
CA,3858841,3858841-1
CA,3858847,3858847-1
CA,3858851,3858851-1
CA,3858863,3858863-1
CA,3858866,3858866-1
CT,3858868,3858868-1
CA,3858871,3858871-1
CA,3858872,3858872-1
CA,3858880,3858880-1
CA,3858882,3858882-1
CA,3858888,3858888-1
CA,3858890,3858890-1
CA,3858891,3858891-1
NV,3858898,3858898-1
CA,3858901,3858901-1
MN,3858933,3858933-1
WA,3858937,3858937-1
WV,3858940,3858940-1
CA,3858961,3858961-1
CA,3858963,3858963-1
CA,3858971,3858971-1
CA,3858978,3858978-1
CA,3858985,3858985-1
OK,3858986,3858986-1
CA,3858989,3858989-1
CT,3858995,3858995-1
CT,3859001,3859001-1
CA,3859005,3859005-1
CA,3859009,3859009-1
CA,3859010,3859010-1
WA,3859026,3859026-1
CA,3859041,3859041-1
CA,3859049,3859049-1
CT,3859053,3859053-1
CT,3859058,3859058-1
CT,3859059,3859059-1
WV,3859060,3859060-1
CA,3859078,3859078-1
CA,3859080,3859080-1
MN,3859084,3859084-1
MN,3859089,3859089-1
MN,3859094,3859094-1
CA,3859114,3859114-1
CA,3859119,3859119-1
CT,3859138,3859138-1
CT,3859144,3859144-1
CA,3859154,3859154-1
CA,3859188,3859188-1
WA,3859205,3859205-1
CA,3859209,3859209-1
CA,3859219,3859219-1
CA,3859222,3859222-1
CT,3859225,3859225-1
CA,3859227,3859227-1
CA,3859230,3859230-1
MN,3859234,3859234-1
CT,3859247,3859247-1
OK,3859250,3859250-1
CT,3859260,3859260-1
CT,3859288,3859288-1
CA,3859309,3859309-1
CT,3859328,3859328-1
CA,3859332,3859332-1
CA,3859333,3859333-1
CA,3859347,3859347-1
CA,3859348,3859347-1
WV,3859349,3859349-1
CA,3859353,3859353-1
OK,3859388,3859388-1
CT,3859395,3859395-1
CA,3859398,3859398-1
CA,3859401,3859401-1
CA,3859442,3859442-1
NV,3859448,3859448-1
CT,3859449,3859449-1
CA,3859451,3859451-1
CA,3859454,3859454-1
CA,3859463,3859463-1
MN,3859464,3859464-1
CA,3859469,3859469-1
CA,3859476,3859476-1
CA,3859481,3859481-1
CA,3859484,3859484-1
CA,3859502,3859502-1
OK,3859503,3859503-1
OK,3859506,3859506-1
CA,3859509,3859509-1
CA,3859510,3859510-1
CA,3859518,3859518-1
CT,3859524,3859524-1
CA,3859528,3859528-1
CA,3859529,3859529-1
CA,3859532,3859532-1
CA,3859543,3859543-1
CA,3859547,3859547-1
CA,3859549,3859549-1
CA,3859552,3859552-1
CA,3859557,3859557-1
MN,3859572,3859572-1
CA,3859584,3859584-1
MN,3859594,3859594-1
CA,3859604,3859604-1
CA,3859605,3859605-1
CA,3859607,3859607-1
CA,3859620,3859620-1
MN,3859621,3859621-1
MN,3859623,3859623-1
CA,3859624,3859624-1
CA,3859630,3859630-1
CA,3859638,3859638-1
MN,3859640,3859640-1
CA,3859642,3859642-1
CA,3859647,3859647-1
MN,3859648,3859648-1
CA,3859651,3859651-1
OK,3859664,3859664-1
CA,3859665,3859665-1
MN,3859668,3859668-1
CA,3859673,3859673-1
CT,3859712,3859712-1
CA,3859715,3859715-1
CA,3859717,3859717-1
MN,3859725,3859725-1
WA,3859728,3859728-1
WA,3859729,3859729-1
CT,3859730,3859730-1
CA,3859742,3859742-1
CA,3859749,3859749-1
CA,3859753,3859753-1
MN,3859758,3859758-1
CT,3859783,3859783-1
CA,3859788,3859788-1
CA,3859809,3859809-1
CA,3859836,3859836-1
CA,3859844,3859844-1
CA,3859849,3859849-1
CA,3859853,3859853-1
CT,3859855,3859855-1
CA,3859856,3859856-1
CA,3859859,3859859-1
CA,3859865,3859865-1
CA,3859868,3859868-1
CT,3859903,3859903-1
CA,3859922,3859922-1
WA,3859925,3859925-1
WA,3859934,3859934-1
WA,3859939,3859939-1
CT,3859944,3859944-1
WA,3859946,3859946-1
WA,3859950,3859950-1
CT,3859955,3859955-1
MN,3859957,3859957-1
CT,3859959,3859959-1
CA,3859960,3859960-1
MN,3859966,3859966-1
CA,3859976,3859976-1
CA,3859990,3859990-1
CA,3859992,3859992-1
CA,3859993,3859993-1
MN,3860005,3859668-1
ND,3860010,3860010-1
CA,3860043,3860043-1
CA,3860048,3860048-1
WA,3860051,3860051-1
OK,3860067,3860067-1
OK,3860069,3858649-2
CA,3860075,3860075-1
CA,3860080,3860080-1
OK,3860087,3860087-1
CA,3860088,3860088-1
CA,3860092,3860092-1
CA,3860098,3860098-1
CT,3860103,3860103-1
MN,3860117,3860117-1
CT,3860127,3860127-1
WA,3860128,3860128-1
CA,3860134,3860134-1
CA,3860135,3860135-1
WA,3860142,3860142-1
AK,3860151,3860151-1
MN,3860156,3860156-1
CA,3860157,3860157-1
CA,3860162,3860162-1
CA,3860170,3860170-1
CA,3860172,3860172-1
CA,3860191,3860191-1
CA,3860192,3860192-1
CA,3860199,3860199-1
WA,3860204,3860204-1
CA,3860212,3860212-1
CA,3860215,3858847-1
MN,3860224,3860224-1
CA,3860226,3860226-1
CA,3860232,3860232-1
CA,3860235,3860235-1
CA,3860254,3860254-1
CA,3860264,3860264-1
CA,3860268,3860268-1
CA,3860269,3860269-1
OK,3860271,3860067-1
MN,3860274,3860274-1
CA,3860277,3860277-1
CA,3860283,3860283-1
CA,3860286,3860286-1
MN,3860289,3860289-1
CA,3860293,3860293-1
CA,3860304,3860304-1
MN,3860306,3858408-1
CA,3860324,3860324-1
CA,3860326,3860326-1
CA,3860342,3860342-1
CA,3860343,3860343-1
MN,3860344,3860344-1
CT,3860358,3860358-1
CA,3860384,3860384-1
CA,3860393,3859209-2
CA,3860410,3860410-1
OK,3860411,3860411-1
CA,3860437,3860437-1
CA,3860445,3860437-1
OK,3860451,3860451-1
WV,3860475,3860475-1
CA,3860482,3860482-1
WA,3860487,3860487-1
CA,3860492,3860492-1
CA,3860506,3860506-1
CA,3860518,3860518-1
CA,3860533,3860533-1
MN,3860535,3860535-1
CT,3860552,3860552-1
MN,3860556,3860556-1
MN,3860565,3860565-1
OK,3860566,3860566-1
CT,3860585,3860585-1
CA,3860588,3860588-1
CA,3860589,3860588-2
CA,3860625,3860625-1
CA,3860627,3860627-1
CA,3860629,3860629-1
MN,3860652,3860652-1
WV,3860656,3860656-1
OK,3860664,3860664-1
CA,3860676,3860676-1
CA,3860692,3860692-1
OK,3860697,3860697-1
CT,3860718,3860718-1
CA,3860725,3860725-1
CA,3860730,3860730-1
CA,3860731,3860725-1
CA,3860736,3860736-1
CA,3860755,3860755-1
CA,3860757,3860757-1
CA,3860759,3860759-1
CA,3860767,3860767-1
CA,3860769,3860769-1
CA,3860780,3859865-1
CA,3860782,3860782-1
CT,3860784,3860784-1
MN,3860790,3860790-1
CA,3860795,3860795-1
WA,3860800,3860800-1
CA,3860815,3860815-1
CA,3860822,3860822-1
CA,3860823,3859528-2
CA,3860824,3860824-1
CA,3860832,3860832-1
CA,3860833,3860833-1
CA,3860837,3860837-1
MN,3860846,3860846-1
CA,3860847,3860847-1
CA,3860854,3860854-1
CA,3860855,3860855-1
CA,3860873,3860873-1
CA,3860876,3860876-1
CT,3860877,3860877-1
CA,3860880,3860880-1
CT,3860885,3860885-1
CA,3860888,3860888-1
CT,3860889,3860889-1
CA,3860891,3860891-1
CA,3860892,3860892-1
OK,3860895,3860895-1
WA,3860910,3860910-1
CT,3860911,3860911-1
OK,3860912,3860912-1
MN,3860913,3860913-1
CA,3860918,3860918-1
CA,3860921,3860921-1
CA,3860924,3860924-1
CA,3860926,3860926-1
CA,3860932,3860932-1
CA,3860946,3860946-1
CA,3860952,3860952-1
MN,3860958,3860958-1
CA,3860965,3860965-1
CA,3860968,3860968-1
MN,3860970,3860970-1
WA,3860971,3860971-1
CA,3860973,3860973-1
MN,3860974,3860974-1
CA,3860975,3860975-1
CA,3860986,3860986-1
CA,3860992,3860992-1
WA,3860993,3860993-1
CA,3860998,3860998-1
CA,3861003,3861003-1
CT,3861006,3861006-1
CA,3861023,3861023-1
CA,3861029,3861029-1
CA,3861030,3861030-1
CA,3861034,3861034-1
CA,3861035,3861035-1
CA,3861036,3861036-1
CA,3861037,3861037-1
CA,3861045,3861045-1
CA,3861052,3861052-1
CA,3861053,3861053-1
CA,3861058,3861058-1
CA,3861064,3861064-1
CA,3861072,3861072-1
CA,3861074,3861074-1
CA,3861078,3861078-1
OK,3861097,3861097-1
OK,3861099,3861099-1
CA,3861104,3861104-1
CT,3861123,3861123-1
CA,3861126,3861126-1
CA,3861136,3861136-1
CT,3861137,3861137-1
WA,3861138,3861138-1
NV,3861150,3861150-1
CA,3861162,3860269-1
CA,3861168,3861168-1
CA,3861182,3861182-1
CA,3861213,3861213-1
CA,3861220,3861220-1
MN,3861229,3861229-1
CA,3861239,3859976-1
CT,3861248,3861248-1
CT,3861255,3861255-1
CT,3861260,3861260-1
CA,3861265,3861265-1
CA,3861271,3861271-1
CA,3861279,3861279-1
CA,3861289,3861289-1
CA,3861304,3861304-1
CT,3861306,3861306-1
CA,3861310,3861310-1
