MI,3858242,3858242-1
MI,3858269,3858269-1
MI,3858272,3858272-1
MI,3858289,3858289-1
MI,3858299,3858299-1
MI,3858391,3858391-1
MI,3858427,3858427-1
MI,3858436,3858436-1
MI,3858455,3858455-1
MI,3858460,3858460-1
MI,3858481,3858481-1
MI,3858482,3858482-1
MI,3858533,3858533-1
MI,3858545,3858545-1
MI,3858558,3858558-1
MI,3858606,3858606-1
MI,3858628,3858628-1
MI,3858647,3858647-1
MI,3858678,3858678-1
MI,3858691,3858691-1
MI,3858698,3858698-1
MI,3858717,3858717-1
MI,3858790,3858790-1
MI,3858815,3858815-1
MI,3858822,3858822-1
MI,3858824,3858824-1
MI,3858826,3858826-1
MI,3858867,3858867-1
MI,3858873,3858873-1
MI,3858877,3858877-1
MI,3858903,3858903-1
MI,3858914,3858914-1
MI,3858944,3858944-1
MI,3859003,3859003-1
MI,3859013,3859013-1
MI,3859022,3859022-1
MI,3859081,3859081-1
MI,3859142,3859142-1
MI,3859181,3859181-1
MI,3859216,3858455-1
MI,3859359,3859359-1
MI,3859411,3859411-1
MI,3859421,3859421-1
MI,3859441,3859441-1
MI,3859485,3859485-1
MI,3859515,3859515-1
MI,3859627,3859627-1
MI,3859650,3859650-1
MI,3859660,3859660-1
MI,3859704,3859704-1
MI,3859705,3859705-1
MI,3859710,3859710-1
MI,3859766,3859766-1
MI,3859775,3859775-1
MI,3859786,3859786-1
MI,3859800,3859800-1
MI,3859862,3859862-1
MI,3859866,3859866-1
MI,3859872,3859872-1
MI,3859921,3858824-1
MI,3859952,3859952-1
MI,3859971,3859971-1
MI,3859983,3859983-1
MI,3860025,3860025-1
MI,3860036,3860036-1
MI,3860058,3860058-1
MI,3860062,3860062-1
MI,3860078,3860078-1
MI,3860111,3860111-1
MI,3860125,3860125-1
MI,3860222,3860222-1
MI,3860258,3860258-1
MI,3860287,3860287-1
MI,3860294,3860294-1
MI,3860296,3860296-1
MI,3860308,3860308-1
MI,3860320,3860320-1
MI,3860346,3860346-1
MI,3860353,3860353-1
MI,3860354,3860354-1
MI,3860360,3860360-1
MI,3860362,3860362-1
MI,3860365,3860365-1
MI,3860366,3860366-1
MI,3860367,3860367-1
MI,3860372,3860036-1
MI,3860406,3860406-1
MI,3860521,3860521-1
MI,3860546,3860546-1
MI,3860551,3860551-1
MI,3860554,3860554-1
MI,3860633,3860633-1
MI,3860663,3860663-1
MI,3860709,3860709-1
MI,3860719,3860719-1
MI,3860777,3860777-1
MI,3860794,3860794-1
MI,3860805,3860805-1
MI,3860869,3860869-1
MI,3860875,3860875-1
MI,3860904,3860904-1
MI,3860999,3860999-1
MI,3861102,3861102-1
MI,3861107,3861107-1
MI,3861108,3861108-1
MI,3861111,3861111-1
MI,3861198,3861198-1
MI,3861199,3861199-1
MI,3861208,3861208-1
MI,3861215,3861215-1
MI,3861231,3861231-1
MI,3861238,3861238-1
MI,3861297,3861297-1
MI,3861317,3861317-1
MI,3861325,3861325-1
MI,3861361,3861361-1
MI,3861371,3861371-1
MI,3861417,3861417-1
MI,3861454,3861454-1
MI,3861476,3861476-1
MI,3861520,3861520-1
MI,3861556,3861556-1
MI,3861557,3861557-1
MI,3861566,3861566-1
MI,3861571,3861571-1
MI,3861602,3861602-1
MI,3861614,3861614-1
MI,3861644,3861644-1
MI,3861678,3861678-1
MI,3861681,3861681-1
MI,3861698,3861698-1
MI,3861700,3861700-1
MI,3861711,3861711-1
MI,3861731,3861731-1
MI,3861737,3861737-1
MI,3861741,3861741-1
MI,3861742,3861742-1
MI,3861837,3861837-1
MI,3861881,3861881-1
MI,3861887,3861887-1
MI,3861950,3861950-1
MI,3861974,3861974-1
MI,3862020,3862020-1
MI,3862079,3862079-1
MI,3862085,3862085-1
MI,3862184,3862184-1
MI,3862232,3862232-1
MI,3862389,3862389-1
MI,3862437,3862437-1
MI,3862459,3862459-1
MI,3862460,3862460-1
MI,3862498,3862498-1
MI,3862506,3862506-1
MI,3862518,3862518-1
MI,3862524,3862524-1
MI,3862527,3862527-1
MI,3862540,3862540-1
MI,3862551,3862551-1
MI,3862565,3862565-1
MI,3862581,3862581-1
MI,3862600,3862600-1
