citing_pat	cited_pat	year(patent.date)
6737154	3860036	2004
6737154	4094947	2004
6744561	3860036	2004
6749427	3860036	2004
6760157	3860036	2004
6783349	3860036	2004
6783349	3884606	2004
6788463	3860036	2004
6788463	3884606	2004
6797366	3860036	2004
6797366	3884606	2004
6804058	3860036	2004
6804058	4094947	2004
6808658	3860036	2004
6808658	3884606	2004
6827886	3860036	2004
6827886	3884606	2004
6829071	3860036	2004
6830713	3860036	2004
6830713	3884606	2004
7083847	3860036	2006
7083847	3860372	2006
7083847	3884606	2006
7083847	3924990	2006
7083847	4094947	2006
7141297	3860036	2006
6924014	3860036	2005
6924014	4094947	2005
7459204	3860036	2008
7147903	3860036	2006
7147903	4094947	2006
6926952	3860036	2005
7423708	3860036	2008
7423708	4094947	2008
7277141	3860036	2007
6888675	3860036	2005
6888675	4094947	2005
6888677	3860036	2005
7038745	3860036	2006
7038745	4094947	2006
6999233	3860036	2006
6934082	3860036	2005
7138173	3860036	2006
7138173	3884606	2006
7150907	3860036	2006
7057816	3860036	2006
8168302	3860036	2012
7833593	3860036	2010
7833593	4094947	2010
7019905	3860036	2006
7077649	3860036	2006
7298442	3860036	2007
6905220	3860036	2005
6905220	4094947	2005
6987612	3860036	2006
8568869	3860036	2013
7321464	3860036	2008
7321464	4094947	2008
6946188	3860036	2005
6917399	3860036	2005
7852560	3860036	2010
7852560	3860372	2010
7852560	3884606	2010
7852560	3924990	2010
7852560	4094947	2010
4076163	3860062	1978
5632498	3860078	1997
6102369	3860078	2000
6102369	3990593	2000
8061721	3860078	2011
8561857	3860111	2013
4125203	3860111	1978
4844295	3860111	1989
5110008	3860111	1992
8251263	3860111	2012
5344043	3860111	1994
D675099	3860111	2013
4754445	3860125	1988
5267257	3860222	1993
8602209	3860287	2013
8602209	4214660	2013
4549773	3860308	1985
4560212	3860308	1985
4807996	3860346	1989
8448824	3860353	2013
8287495	3860353	2012
8408421	3860353	2013
8298184	3860353	2012
5044393	3860354	1991
8596968	3860360	2013
5592386	3860365	1997
5592386	4197767	1997
4395206	3860366	1983
5518036	3860372	1996
5462681	3860521	1995
5462681	4274973	1995
5462681	4390439	1995
5559087	3860521	1996
5559087	4274973	1996
5723418	3860521	1998
5863871	3860521	1999
5863874	3860521	1999
5925601	3860521	1999
5932526	3860521	1999
6247478	3860521	2001
6525005	3860521	2003
6554005	3860521	2003
6667283	3860521	2003
6756347	3860521	2004
7125827	3860521	2006
7125827	4027512	2006
7125827	4274973	2006
5174914	3860521	1992
5182035	3860521	1993
5244589	3860521	1993
6855676	3860521	2005
6855676	4027512	2005
6855676	4274973	2005
5352376	3860521	1994
6967189	3860521	2005
6967189	4067997	2005
6967189	4274973	2005
4338454	3860709	1982
4339581	3860709	1982
7335373	3860709	2008
5154915	3860709	1992
6969769	3860709	2005
6969769	4082635	2005
4897532	3860794	1990
4000397	3860794	1976
5075538	3860794	1991
5366553	3860904	1994
5482314	3860904	1996
5890085	3860904	1999
6026340	3860904	2000
6272411	3860904	2001
6533057	3860904	2003
6533057	3870120	2003
6533057	3906441	2003
6533057	4107645	2003
6758353	3860999	2004
5186591	3860999	1993
4173103	3861102	1979
6591573	3861107	2003
7197856	3861107	2007
4551960	3861107	1985
4551960	3914063	1985
5048995	3861107	1991
5048995	3888440	1991
5048995	3914063	1991
5048995	3927499	1991
7578109	3861107	2009
7578109	3914063	2009
7587862	3861107	2009
7587862	3914063	2009
7530201	3861107	2009
7530201	3914063	2009
4522009	3861108	1985
4072424	3861198	1978
4786188	3861198	1988
4786188	3877780	1988
4836689	3861198	1989
4836689	3877780	1989
5083865	3861198	1992
4483532	3861215	1984
5090694	3861215	1992
5147265	3861215	1992
5195937	3861215	1993
5244446	3861215	1993
5302161	3861215	1994
5302161	4138106	1994
5318493	3861215	1994
4279392	3861238	1981
4279392	3886802	1981
5613450	3861325	1997
5613450	4104835	1997
5615451	3861325	1997
5660121	3861325	1997
5660121	4104835	1997
4133271	3861325	1979
6024026	3861325	2000
6024026	4104835	2000
6070367	3861325	2000
6070367	4104835	2000
6129366	3861325	2000
6164017	3861325	2000
6164017	4104835	2000
6192808	3861325	2001
6192808	4070057	2001
6401631	3861325	2002
6601861	3861325	2003
4949649	3861325	1990
4026221	3861325	1977
4054096	3861325	1977
7878128	3861325	2011
5118961	3861371	1992
5118961	3886732	1992
5118961	3906188	1992
5118961	3935847	1992
5118961	3935848	1992
5118961	3948053	1992
5118961	3948235	1992
5118961	3967914	1992
5118961	4003672	1992
5118961	4232991	1992
5118961	4293777	1992
5118961	4307574	1992
5118961	4336856	1992
5118961	4378195	1992
4197747	3861417	1980
4466283	3861417	1984
5952113	3861454	1999
4610595	3861520	1986
4610595	4037714	1986
4369575	3861556	1983
3968992	3861556	1976
5261549	3861556	1993
7624890	3861556	2009
4086394	3861557	1978
7048140	3861557	2006
4660745	3861566	1987
5667152	3861602	1997
3944147	3861602	1976
8307866	3861602	2012
7780102	3861602	2010
4039156	3861614	1977
5419492	3861644	1995
5419492	4096995	1995
5419492	4129253	1995
5419492	4275693	1995
5419492	4392612	1995
5419492	4408718	1995
5419492	4482094	1995
5301875	3861644	1994
5301875	4129253	1994
5301875	4275693	1994
5301875	4392612	1994
5301875	4408718	1994
5301875	4482094	1994
D432031	3861678	2000
6666774	3861678	2003
5553403	3861698	1996
5735063	3861698	1998
5921007	3861698	1999
6195919	3861698	2001
3965585	3861698	1976
8469372	3861698	2013
8607418	3861731	2013
8607418	3918758	2013
5429403	3861737	1995
5429403	4206943	1995
4210358	3861737	1980
4585267	3861737	1986
5133586	3861737	1992
8534742	3861737	2013
8534742	4098477	2013
8534742	4129331	2013
7703246	3861737	2010
7703246	3906968	2010
8226150	3861737	2012
8226150	4098477	2012
8226150	4129331	2012
8496283	3861737	2013
8496283	4098477	2013
8496283	4129331	2013
6796607	3861741	2004
5330250	3861742	1994
6627309	3861950	2003
7258917	3861950	2007
6153622	3862232	2000
6204286	3862232	2001
6441193	3862232	2002
RE39558	3862232	2007
RE39558	3875242	2007
6911456	3862232	2005
6911456	3875242	2005
4142117	3862437	1979
4421995	3862437	1983
4007382	3862437	1977
6387063	3862459	2002
D679449	3862459	2013
4040132	3862459	1977
5584090	3862460	1996
5584090	4096600	1996
5134742	3862460	1992
5134742	4057866	1992
4679329	3862498	1987
4373466	3862506	1983
5537795	3862524	1996
5537795	3990204	1996
5537795	4144924	1996
5537795	4199206	1996
5537795	4213493	1996
5537795	4241965	1996
5537795	4277123	1996
5537795	4367370	1996
5537795	4370008	1996
5537795	4377724	1996
4538311	3862527	1985
4628653	3862527	1986
7712555	3862668	2010
7712555	3872669	2010
7712555	3917014	2010
7712555	3988893	2010
4215878	3862669	1980
4929008	3862669	1990
5033569	3862669	1991
5033569	4437696	1991
4157228	3862691	1979
4341486	3862691	1982
5083740	3862737	1992
5083740	4194717	1992
6367978	3862783	2002
4458961	3862785	1984
4458961	3920299	1984
3997218	3862785	1976
5020449	3862785	1991
8066340	3862785	2011
5160188	3862785	1992
5160188	4163867	1992
6194439	3862952	2001
4025333	3862952	1977
7210383	3863208	2007
7210383	4276799	2007
7210383	4321841	2007
7210383	4372202	2007
8505424	3863208	2013
8505424	4276799	2013
8505424	4321841	2013
8505424	4372202	2013
8065943	3863208	2011
8065943	4276799	2011
8065943	4321841	2011
8065943	4372202	2011
7350444	3863208	2008
7350444	4276799	2008
7350444	4321841	2008
7350444	4372202	2008
7350445	3863208	2008
7350445	4276799	2008
7350445	4321841	2008
7350445	4372202	2008
7525055	3863208	2009
7525055	4276799	2009
7525055	4321841	2009
7525055	4372202	2009
7788999	3863208	2010
7788999	4276799	2010
7788999	4321841	2010
7788999	4372202	2010
6994004	3863208	2006
6994004	4276799	2006
6994004	4321841	2006
6994004	4372202	2006
8122807	3863208	2012
8122807	4276799	2012
8122807	4321841	2012
8122807	4372202	2012
7827890	3863208	2010
7827890	4276799	2010
7827890	4321841	2010
7827890	4372202	2010
7827893	3863208	2010
7827893	4276799	2010
7827893	4321841	2010
7827893	4372202	2010
7707920	3863208	2010
7707920	4276799	2010
7707920	4321841	2010
7707920	4372202	2010
7024975	3863208	2006
7024975	4276799	2006
7024975	4321841	2006
7024975	4372202	2006
4990884	3863208	1991
7600455	3863208	2009
7600455	4276799	2009
7600455	4321841	2009
7600455	4372202	2009
7100483	3863208	2006
7100483	4276799	2006
7100483	4321841	2006
7100483	4372202	2006
7137326	3863208	2006
7137326	4276799	2006
7137326	4321841	2006
7137326	4372202	2006
7225712	3863208	2007
7225712	4276799	2007
7225712	4321841	2007
7225712	4372202	2007
7357056	3863208	2008
7357056	4276799	2008
7357056	4321841	2008
7357056	4372202	2008
7197969	3863208	2007
7197969	4276799	2007
7197969	4321841	2007
7197969	4372202	2007
8151675	3863208	2012
8151675	4276799	2012
8151675	4321841	2012
8151675	4372202	2012
7866239	3863208	2011
7866239	4276799	2011
7866239	4321841	2011
7866239	4372202	2011
8522655	3863208	2013
8522655	4276799	2013
8522655	4321841	2013
8522655	4372202	2013
7231856	3863208	2007
7231856	4276799	2007
7231856	4321841	2007
7231856	4372202	2007
7481140	3863208	2009
7481140	4276799	2009
7481140	4321841	2009
7481140	4372202	2009
8459157	3863208	2013
8459157	4276799	2013
8459157	4321841	2013
8459157	4372202	2013
7681479	3863208	2010
7681479	4276799	2010
7681479	4321841	2010
7681479	4372202	2010
7472634	3863208	2009
7472634	4276799	2009
7472634	4321841	2009
7472634	4372202	2009
7712403	3863208	2010
7712403	4276799	2010
7712403	4321841	2010
7712403	4372202	2010
7610836	3863208	2009
7610836	4276799	2009
7610836	4321841	2009
7610836	4372202	2009
7509899	3863208	2009
7509899	4276799	2009
7921754	3863208	2011
7921754	4276799	2011
7921754	4321841	2011
7921754	4372202	2011
7284467	3863208	2007
7284467	4276799	2007
7284467	4321841	2007
7284467	4372202	2007
4065760	3863210	1977
6703593	3863210	2004
7698936	3863210	2010
D595183	3863303	2009
6508009	3863351	2003
4227347	3863398	1980
5496069	3863445	1996
4955193	3863445	1990
4955193	3908372	1990
5036947	3863445	1991
5036947	4478310	1991
5564442	3863648	1996
8210570	3863648	2012
8210570	4142536	2012
4617964	3863674	1986
6543501	3863726	2003
4415055	3863726	1983
5542357	3863727	1996
5542357	4063611	1996
5669308	3863727	1997
5669308	4063611	1997
6354389	3863727	2002
6502651	3863727	2003
4305476	3863727	1981
5707001	3863828	1998
4762341	3863828	1988
4531717	3863907	1985
4938163	3863909	1990
4149727	3863926	1979
D446253	3863926	2001
D446253	4277066	2001
D448051	3863926	2001
D448051	4277066	2001
4260158	3863926	1981
6116659	3863964	2000
6116659	3905623	2000
6116659	4056273	2000
6116659	4261600	2000
6116659	4312526	2000
6123369	3863964	2000
6123369	3905623	2000
6123369	4056273	2000
6123369	4261600	2000
6123369	4312526	2000
6305054	3863964	2001
6305054	3905623	2001
6305054	4056273	2001
6305054	4109350	2001
6305054	4261600	2001
6305054	4312526	2001
6508277	3863964	2003
6508277	3905623	2003
6508277	4056273	2003
6508277	4261600	2003
6508277	4312526	2003
7837078	3864053	2010
4080092	3864053	1978
5791834	3864053	1998
5791834	4331411	1998
5987767	3864053	1999
4449867	3864053	1984
8469251	3864053	2013
7878383	3864053	2011
8375541	3864053	2013
6939110	3864059	2005
7892535	3864081	2011
7892535	4481167	2011
4366878	3864109	1983
5399299	3864437	1995
4163184	3864613	1979
4163932	3864613	1979
4021650	3864613	1977
5416405	3864629	1995
4293174	3864629	1981
4293174	4179171	1981
8536856	3864686	2013
8482273	3864686	2013
8482274	3864686	2013
4059244	3864745	1977
8141236	3864805	2012
4969703	3864829	1990
6053957	3864840	2000
5410453	3864861	1995
5459955	3864861	1995
5526236	3864861	1996
5539623	3864861	1996
D402316	3864861	1998
D406279	3864861	1999
D406863	3864861	1999
D482402	3864861	2003
D482402	4272901	2003
4009535	3864861	1977
4108461	3865095	1978
6857814	3865095	2005
4026032	3865095	1977
5995459	3865228	1999
6377526	3865228	2002
5042642	3865228	1991
8413763	3865329	2013
3941330	3865329	1976
5642921	3865441	1997
5642921	4059315	1997
5642921	4261622	1997
6109705	3865441	2000
4758055	3865441	1988
4758055	4059315	1988
3973808	3865441	1976
5454223	3865514	1995
5454223	4197705	1995
5454223	4293284	1995
4381176	3865514	1983
4821514	3865514	1989
4821514	4293284	1989
7730722	3865514	2010
5547022	3865544	1996
4514319	3865544	1985
4514319	3912652	1985
6692588	3865642	2004
6692588	4306857	2004
6645325	3865659	2003
6645325	4002514	2003
6645325	4186068	2003
5658419	3865669	1997
4927596	3865688	1990
4927596	4050983	1990
4927596	4210614	1990
4927596	4473528	1990
7374684	3865728	2008
7374684	4379931	2008
6440315	3865728	2002
8252087	3865728	2012
8252087	3965118	2012
8252087	4477315	2012
7850012	3865728	2010
7850012	4379931	2010
4603114	3865728	1986
7303084	3865728	2007
4704256	3865728	1987
7422682	3865728	2008
7264728	3865728	2007
7264728	4379931	2007
7686976	3865728	2010
7686976	4477315	2010
8475658	3865728	2013
8475658	3965118	2013
8475658	4477315	2013
8066874	3865728	2011
8066874	3965118	2011
8066874	4477315	2011
7303670	3865728	2007
5728469	3865897	1998
5728469	4070526	1998
7630747	3865897	2009
7902403	3865906	2011
5364517	3865923	1994
5939354	3865923	1999
5977017	3865923	1999
6352955	3865923	2002
6372686	3865923	2002
6531425	3865923	2003
3914389	3865923	1975
7514055	3865923	2009
7014825	3865923	2006
4940686	3865923	1990
3997440	3865923	1976
4230724	3865949	1980
