patent_id	inventor_id
3864693	3864693-1
3864745	3864745-1
3864805	3864805-1
3864808	3864808-1
3864829	3864829-1
3864840	3864840-1
3864861	3864861-1
3864988	3864988-1
3864992	3864992-1
3865039	3865039-1
3865087	3865087-1
3865095	3865095-1
3865159	3865159-1
3865205	3865205-1
3865228	3865228-1
3865329	3865329-1
3865329	3865329-2
3865329	3865329-3
3865355	3865355-1
3865385	3864745-1
3865441	3865441-1
3865514	3865514-1
3865544	3865544-1
3865638	3865638-1
3865638	3865638-2
3865638	3865638-3
3865642	3865642-1
3865656	3862864-2
3865656	3862864-1
3865656	3862864-3
3865657	3862864-3
3865658	3862864-3
3865659	3862864-3
3865659	3862864-1
3865659	3862864-2
3865669	3865669-1
3865670	3865670-1
3865688	3865688-1
3865717	3865717-1
3865728	3860709-1
3865728	3865728-2
3865728	3860709-2
3865782	3862085-1
3865822	3862184-2
3865822	3862184-1
3865831	3865831-1
3865831	3865831-2
3865897	3865897-1
3865897	3865897-2
3865897	3865897-3
3865906	3865906-1
3865906	3865906-2
3865923	3865923-1
3865928	3865928-1
3865928	3865928-2
3865949	3865949-1
3865953	3858717-1
3866004	3866004-1
3866034	3866034-1
3866139	3866139-1
3866171	3866171-1
3866271	3866271-1
3866285	3866285-1
3866287	3859705-2
3866287	3859705-1
3866289	3866289-1
3866289	3866289-2
3866289	3866289-3
3866369	3866369-1
3866377	3866377-1
3866384	3866384-1
3866384	3862527-1
3866384	3866384-3
3866473	3866473-1
3866473	3866473-2
3866485	3866485-1
3866520	3866520-1
3866542	3866542-1
3866548	3866548-1
3866592	3866592-1
3866598	3866598-1
3866666	3866666-1
3866714	3866714-1
3866721	3866721-1
3866767	3866767-1
3866767	3866767-2
3866769	3861602-1
3866769	3866769-2
3866825	3866825-1
3866825	3866825-2
3866881	3862577-2
3866895	3866895-1
3866896	3866896-1
3866926	3866926-1
3866932	3866932-1
3866934	3866934-1
3866936	3866936-1
3866940	3866940-1
3866966	3866966-1
3866968	3866968-1
3866975	3866975-1
3866978	3866978-1
3867084	3867084-1
3867088	3867088-1
3867088	3867088-2
3867115	3867115-1
3867160	3867160-1
3867177	3867177-1
3867177	3867177-2
3867177	3867177-3
3867240	3867240-1
3867250	3867250-1
3867250	3867250-2
3867288	3867288-1
