patent_id	inventor_id
3859652	3859652-3
3859664	3859664-1
3859664	3859664-2
3859665	3859665-1
3859668	3859668-1
3859673	3859673-1
3859712	3859712-1
3859715	3859715-1
3859715	3859715-2
3859715	3859715-3
3859715	3859715-4
3859715	3859715-5
3859715	3859715-6
3859715	3859715-7
3859717	3859717-1
3859717	3859717-2
3859725	3859725-1
3859725	3859725-2
3859728	3859728-1
3859729	3859729-1
3859730	3859730-1
3859742	3859742-1
3859749	3859749-1
3859749	3859749-2
3859749	3859749-3
3859749	3859749-4
3859753	3859753-1
3859758	3859758-1
3859760	3859760-1
3859760	3859760-2
3859783	3859783-1
3859788	3859788-1
3859788	3859788-2
3859809	3859809-1
3859809	3859809-2
3859809	3859809-3
3859810	3859810-1
3859810	3859810-2
3859836	3859836-1
3859844	3859844-1
3859849	3859849-1
3859853	3859853-1
3859855	3859855-1
3859856	3859856-1
3859856	3859856-2
3859859	3859859-1
3859865	3859865-1
3859868	3859868-1
3859903	3859903-1
3859922	3859922-1
3859922	3859922-2
3859925	3859925-1
3859934	3859934-1
3859939	3859939-1
3859944	3859944-1
3859946	3859946-1
3859950	3859950-1
3859955	3859955-1
3859957	3859957-1
3859959	3859959-1
3859959	3859959-2
3859960	3859960-1
3859966	3859966-1
3859976	3859976-1
3859990	3859990-1
3859992	3859992-1
3859993	3859993-1
3860005	3859668-1
3860005	3860005-2
3860008	3860008-1
3860008	3860008-2
3860008	3860008-3
3860008	3860008-4
3860010	3860010-1
3860010	3860010-2
3860027	3860027-1
3860027	3860027-2
3860027	3860027-3
3860043	3860043-1
3860043	3860043-2
3860048	3860048-1
3860051	3860051-1
3860053	3860053-1
3860053	3860053-2
3860067	3860067-1
3860069	3858649-2
3860069	3858649-1
3860075	3860075-1
3860080	3860080-1
3860087	3860087-1
3860088	3860088-1
3860092	3860092-1
3860098	3860098-1
3860098	3860098-2
3860103	3860103-1
3860117	3860117-1
3860117	3860117-2
3860127	3860127-1
3860128	3860128-1
3860134	3860134-1
3860135	3860135-1
3860135	3860135-2
3860142	3860142-1
3860151	3860151-1
3860156	3860156-1
3860157	3860157-1
3860157	3860157-2
3860157	3860157-3
3860162	3860162-1
3860170	3860170-1
3860172	3860172-1
3860191	3860191-1
3860192	3860192-1
3860199	3860199-1
3860204	3860204-1
3860212	3860212-1
3860215	3858847-1
3860224	3860224-1
3860226	3860226-1
3860232	3860232-1
3860235	3860235-1
3860254	3860254-1
3860264	3860264-1
3860264	3860264-2
3860264	3860264-3
3860268	3860268-1
3860269	3860269-1
3860269	3860269-2
3860269	3860269-3
3860269	3860269-4
3860271	3860067-1
3860274	3860274-1
3860274	3860274-2
3860277	3860277-1
3860283	3860283-1
3860286	3860286-1
3860289	3860289-1
3860293	3860293-1
3860304	3860304-1
3860306	3858408-1
3860324	3860324-1
3860326	3860326-1
3860326	3860326-2
3860342	3860342-1
3860342	3860342-2
3860342	3860342-3
3860343	3860343-1
3860343	3860343-2
3860344	3860344-1
3860358	3860358-1
3860358	3860358-2
3860363	3860363-1
3860363	3860363-2
3860363	3860363-3
3860384	3860384-1
3860384	3860384-2
3860393	3859209-2
3860394	3860394-1
3860394	3860394-2
3860410	3860410-1
3860411	3860411-1
3860437	3860437-1
3860445	3860437-1
3860445	3860445-2
3860445	3860445-3
3860450	3860450-1
3860450	3860450-2
3860450	3860450-3
3860451	3860451-1
3860475	3860475-1
3860482	3860482-1
3860487	3860487-1
3860492	3860492-1
3860492	3860492-2
3860506	3860506-1
3860518	3860518-1
3860533	3860533-1
3860535	3860535-1
3860552	3860552-1
3860556	3860556-1
3860565	3860565-1
3860566	3860566-1
3860566	3860566-2
3860585	3860585-1
3860585	3860585-2
3860585	3860585-3
3860585	3860585-4
3860588	3860588-1
3860588	3860588-2
3860589	3860588-2
3860589	3860588-1
3860621	3860621-1
3860621	3860621-2
3860621	3860621-3
3860625	3860625-1
3860627	3860627-1
3860629	3860629-1
3860629	3860629-2
3860652	3860652-1
3860656	3860656-1
3860656	3860656-2
