control	grant_year
3861415	1975
3861421	1975
3861430	1975
3861431	1975
3861464	1975
3861483	1975
3861484	1975
3861487	1975
3861521	1975
3861535	1975
3861538	1975
3861541	1975
3861545	1975
3861554	1975
3861559	1975
3861568	1975
3861569	1975
3861576	1975
3861582	1975
3861584	1975
3861586	1975
3861587	1975
3861589	1975
3861595	1975
3861605	1975
3861619	1975
3861623	1975
3861624	1975
3861629	1975
3861643	1975
3861659	1975
3861674	1975
3861675	1975
3861688	1975
3861697	1975
3861702	1975
3861714	1975
3861718	1975
3861727	1975
3861730	1975
3861738	1975
3861739	1975
3861748	1975
3861768	1975
3861774	1975
3861776	1975
3861783	1975
3861784	1975
3861795	1975
3861799	1975
3861801	1975
3861802	1975
3861808	1975
3861809	1975
3861810	1975
3861814	1975
3861825	1975
3861833	1975
3861839	1975
3861842	1975
3861845	1975
3861850	1975
3861862	1975
3861863	1975
3861865	1975
3861867	1975
3861879	1975
3861895	1975
3861913	1975
3861916	1975
3861936	1975
3861963	1975
3861970	1975
3861977	1975
3861981	1975
3861995	1975
3861999	1975
3862000	1975
3862002	1975
3862016	1975
3862018	1975
3862043	1975
3862048	1975
3862076	1975
3862095	1975
3862104	1975
3862106	1975
3862115	1975
3862122	1975
3862134	1975
3862190	1975
3862191	1975
3862229	1975
3862237	1975
3862255	1975
3862261	1975
3862274	1975
3862289	1975
3862292	1975
3862296	1975
3862319	1975
3862327	1975
3862341	1975
3862345	1975
3862351	1975
3862355	1975
3862360	1975
3862362	1975
3862375	1975
3862377	1975
3862385	1975
3862398	1975
3862406	1975
3862410	1975
3862413	1975
3862420	1975
3862423	1975
3862428	1975
3862431	1975
3862432	1975
3862436	1975
3862449	1975
3862468	1975
3862477	1975
3862487	1975
3862489	1975
3862497	1975
3862499	1975
3862508	1975
3862517	1975
3862526	1975
3862528	1975
3862530	1975
3862535	1975
3862541	1975
3862543	1975
3862545	1975
3862555	1975
3862582	1975
3862595	1975
3862596	1975
3862602	1975
3862608	1975
3862617	1975
3862622	1975
3862624	1975
3862626	1975
3862627	1975
3862635	1975
3862644	1975
3862646	1975
3862692	1975
3862693	1975
3862694	1975
3862699	1975
3862703	1975
3862705	1975
3862726	1975
3862730	1975
3862731	1975
3862741	1975
3862742	1975
3862747	1975
3862753	1975
3862757	1975
3862761	1975
3862764	1975
3862766	1975
3862775	1975
3862787	1975
3862791	1975
3862793	1975
3862803	1975
3862814	1975
3862815	1975
3862850	1975
3862852	1975
3862866	1975
3862875	1975
3862883	1975
3862886	1975
3862900	1975
3862910	1975
3862933	1975
3862951	1975
3862969	1975
3862970	1975
3862989	1975
3862991	1975
3862992	1975
3862993	1975
3862994	1975
3862997	1975
3862999	1975
3863002	1975
3863005	1975
3863017	1975
3863019	1975
3863021	1975
3863027	1975
3863032	1975
3863034	1975
3863037	1975
3863039	1975
3863040	1975
3863049	1975
3863060	1975
3863073	1975
3863082	1975
3863093	1975
3863094	1975
3863098	1975
3863103	1975
3863115	1975
3863158	1975
3863163	1975
3863175	1975
3863176	1975
3863178	1975
3863180	1975
3863182	1975
3863185	1975
3863192	1975
3863195	1975
3863197	1975
3863200	1975
3863202	1975
3863206	1975
3863230	1975
3863235	1975
3863237	1975
3863242	1975
3863250	1975
3863251	1975
3863261	1975
3863262	1975
3863298	1975
3863332	1975
3863355	1975
3863357	1975
3863369	1975
3863370	1975
3863383	1975
3863393	1975
3863395	1975
3863397	1975
3863404	1975
3863421	1975
3863456	1975
3863462	1975
3863463	1975
3863464	1975
3863472	1975
3863477	1975
3863481	1975
3863486	1975
3863487	1975
3863489	1975
3863493	1975
3863501	1975
3863504	1975
3863505	1975
3863508	1975
3863512	1975
3863517	1975
3863534	1975
3863538	1975
3863539	1975
3863541	1975
3863551	1975
3863553	1975
3863554	1975
3863555	1975
3863558	1975
3863570	1975
3863576	1975
3863584	1975
3863590	1975
3863601	1975
3863610	1975
3863622	1975
3863625	1975
3863635	1975
3863639	1975
3863657	1975
3863668	1975
3863676	1975
3863677	1975
3863687	1975
3863688	1975
3863693	1975
3863694	1975
3863697	1975
3863716	1975
3863720	1975
3863723	1975
3863733	1975
3863742	1975
3863748	1975
3863761	1975
3863767	1975
3863774	1975
3863784	1975
3863795	1975
3863807	1975
3863810	1975
3863811	1975
3863817	1975
3863819	1975
3863820	1975
3863824	1975
3863826	1975
3863829	1975
3863831	1975
3863834	1975
3863836	1975
3863839	1975
3863845	1975
3863852	1975
3863855	1975
3863867	1975
3863868	1975
3863870	1975
3863871	1975
3863881	1975
3863888	1975
3863894	1975
3863897	1975
3863915	1975
3863918	1975
3863931	1975
3863940	1975
3863947	1975
3863952	1975
3863953	1975
3863966	1975
3863967	1975
3863968	1975
3863985	1975
3863995	1975
3863999	1975
3864005	1975
3864009	1975
3864017	1975
3864024	1975
3864029	1975
3864041	1975
3864043	1975
3864045	1975
3864052	1975
3864055	1975
3864068	1975
3864070	1975
3864080	1975
3864098	1975
3864100	1975
3864103	1975
3864147	1975
3864157	1975
3864162	1975
3864168	1975
3864178	1975
3864180	1975
3864184	1975
3864208	1975
3864211	1975
3864230	1975
3864239	1975
3864243	1975
3864259	1975
3864265	1975
3864267	1975
3864279	1975
3864280	1975
3864282	1975
3864284	1975
3864286	1975
3864309	1975
3864313	1975
3864314	1975
3864320	1975
3864327	1975
3864334	1975
3864342	1975
3864345	1975
3864351	1975
3864364	1975
3864376	1975
3864392	1975
3864397	1975
3864404	1975
3864407	1975
3864417	1975
3864423	1975
3864425	1975
3864434	1975
3864445	1975
3864451	1975
3864455	1975
3864458	1975
3864460	1975
3864476	1975
3864501	1975
3864503	1975
3864506	1975
3864511	1975
3864518	1975
3864522	1975
3864529	1975
3864533	1975
3864538	1975
3864539	1975
3864542	1975
3864551	1975
3864562	1975
3864566	1975
3864568	1975
3864569	1975
3864587	1975
3864596	1975
3864607	1975
3864611	1975
3864615	1975
3864623	1975
3864632	1975
3864645	1975
3864647	1975
3864649	1975
3864657	1975
3864660	1975
3864661	1975
3864667	1975
3864671	1975
3864673	1975
3864676	1975
3864687	1975
3864689	1975
3864716	1975
3864717	1975
3864718	1975
3864720	1975
3864723	1975
3864725	1975
3864732	1975
3864734	1975
3864735	1975
3864740	1975
3864741	1975
3864747	1975
3864749	1975
3864750	1975
3864751	1975
3864752	1975
3864754	1975
3864755	1975
3864760	1975
3864766	1975
3864768	1975
3864781	1975
3864785	1975
3864819	1975
3864823	1975
3864824	1975
3864825	1975
3864828	1975
3864834	1975
3864849	1975
3864851	1975
3864855	1975
3864857	1975
3864858	1975
3864864	1975
3864867	1975
3864911	1975
3864944	1975
3864950	1975
3864953	1975
3864960	1975
3864965	1975
3864974	1975
3864976	1975
3864978	1975
3864985	1975
3864995	1975
3864997	1975
3865012	1975
3865026	1975
3865029	1975
3865041	1975
3865052	1975
3865053	1975
3865055	1975
3865061	1975
3865066	1975
3865067	1975
3865072	1975
3865096	1975
3865118	1975
3865123	1975
3865131	1975
3865133	1975
3865134	1975
3865139	1975
3865140	1975
3865142	1975
3865166	1975
3865172	1975
3865173	1975
3865180	1975
3865194	1975
3865196	1975
3865197	1975
3865198	1975
3865201	1975
3865212	1975
3865217	1975
3865224	1975
3865233	1975
3865245	1975
3865246	1975
3865251	1975
3865254	1975
3865283	1975
3865287	1975
3865289	1975
3865291	1975
3865307	1975
3865308	1975
3865319	1975
3865322	1975
3865323	1975
3865325	1975
3865326	1975
3865334	1975
3865339	1975
3865347	1975
3865348	1975
3865350	1975
3865352	1975
3865358	1975
3865365	1975
3865371	1975
3865374	1975
3865380	1975
3865398	1975
3865402	1975
3865403	1975
3865405	1975
3865414	1975
3865416	1975
3865428	1975
3865433	1975
3865434	1975
3865447	1975
3865460	1975
3865468	1975
3865470	1975
3865471	1975
3865472	1975
3865480	1975
3865490	1975
3865500	1975
3865502	1975
3865505	1975
3865511	1975
3865536	1975
3865538	1975
3865539	1975
3865556	1975
3865561	1975
3865562	1975
3865610	1975
3865614	1975
3865627	1975
3865631	1975
3865632	1975
3865668	1975
3865679	1975
3865700	1975
3865701	1975
3865704	1975
3865709	1975
3865731	1975
3865732	1975
3865736	1975
3865740	1975
3865741	1975
3865743	1975
3865746	1975
3865748	1975
3865751	1975
3865761	1975
3865763	1975
3865770	1975
3865776	1975
3865794	1975
3865795	1975
3865824	1975
3865844	1975
3865852	1975
3865874	1975
3865883	1975
3865892	1975
3865905	1975
3865917	1975
3865925	1975
3865926	1975
3865937	1975
3865938	1975
3865944	1975
3865963	1975
3865974	1975
3865975	1975
3865981	1975
3865985	1975
3865986	1975
3865988	1975
3866000	1975
3866003	1975
3866011	1975
3866021	1975
3866022	1975
3866023	1975
3866028	1975
3866037	1975
3866041	1975
3866044	1975
3866051	1975
3866063	1975
3866067	1975
3866068	1975
3866085	1975
3866091	1975
3866099	1975
3866107	1975
3866113	1975
3866119	1975
3866127	1975
3866134	1975
3866140	1975
3866149	1975
3866180	1975
3866192	1975
3866201	1975
3866203	1975
3866218	1975
3866219	1975
3866222	1975
3866226	1975
3866229	1975
3866234	1975
3866249	1975
3866252	1975
3866267	1975
3866272	1975
3866274	1975
3866276	1975
3866290	1975
3866293	1975
3866304	1975
3866305	1975
3866309	1975
3866311	1975
3866313	1975
3866325	1975
3866329	1975
3866338	1975
3866339	1975
3866348	1975
3866350	1975
3866361	1975
3866364	1975
3866365	1975
3866368	1975
3866381	1975
3866387	1975
3866391	1975
3866400	1975
3866401	1975
3866407	1975
3866417	1975
3866432	1975
3866445	1975
3866451	1975
3866456	1975
3866458	1975
3866464	1975
3866472	1975
3866474	1975
3866490	1975
3866492	1975
3866493	1975
3866507	1975
3866509	1975
3866535	1975
3866541	1975
3866547	1975
3866557	1975
3866559	1975
3866563	1975
3866571	1975
3866578	1975
3866585	1975
3866586	1975
3866590	1975
3866596	1975
3866597	1975
3866599	1975
3866607	1975
3866612	1975
3866620	1975
3866626	1975
3866628	1975
3866638	1975
3866649	1975
3866650	1975
3866651	1975
3866672	1975
3866680	1975
3866681	1975
3866683	1975
3866691	1975
3866696	1975
3866697	1975
3866713	1975
3866715	1975
3866719	1975
3866722	1975
3866730	1975
3866747	1975
3866751	1975
3866768	1975
3866777	1975
3866779	1975
3866780	1975
3866783	1975
3866791	1975
3866798	1975
3866809	1975
3866810	1975
3866816	1975
3866819	1975
3866823	1975
3866838	1975
3866845	1975
3866846	1975
3866851	1975
3866855	1975
3866861	1975
3866865	1975
3866868	1975
3866877	1975
3866878	1975
3866894	1975
3866897	1975
3866910	1975
3866911	1975
3866913	1975
3866918	1975
3866920	1975
3866922	1975
3866937	1975
3866938	1975
3866943	1975
3866951	1975
3866959	1975
3866964	1975
3866965	1975
3866974	1975
3866976	1975
3866987	1975
3866989	1975
3866990	1975
3867001	1975
3867006	1975
3867007	1975
3867008	1975
3867017	1975
3867019	1975
3867034	1975
3867036	1975
3867044	1975
3867045	1975
3867056	1975
3867069	1975
3867071	1975
3867073	1975
3867075	1975
3867078	1975
3867080	1975
3867081	1975
3867095	1975
3867096	1975
3867100	1975
3867102	1975
3867106	1975
3867109	1975
3867112	1975
3867122	1975
3867125	1975
3867159	1975
3867183	1975
3867189	1975
3867190	1975
3867191	1975
3867204	1975
3867206	1975
3867236	1975
3867244	1975
3867258	1975
3867259	1975
3867262	1975
3867264	1975
3867271	1975
3867272	1975
3867274	1975
3867277	1975
3867278	1975
3867279	1975
3867281	1975
3867285	1975
3867289	1975
3867290	1975
3867293	1975
3867296	1975
3867300	1975
3867306	1975
3867313	1975
3867317	1975
3867320	1975
3867353	1975
3867356	1975
3867357	1975
3867359	1975
3867366	1975
3867375	1975
3867377	1975
3867391	1975
3867407	1975
3867443	1975
3867444	1975
3867449	1975
3867450	1975
3867461	1975
3867489	1975
3867508	1975
3867512	1975
3867519	1975
3867540	1975
3867543	1975
3867547	1975
3867548	1975
3867564	1975
3867565	1975
3867571	1975
3867574	1975
3867576	1975
3867577	1975
3867591	1975
3867599	1975
3867604	1975
3867610	1975
3867613	1975
3867621	1975
3867625	1975
3867627	1975
3867628	1975
3867629	1975
3867635	1975
3867644	1975
3867646	1975
3867649	1975
3867655	1975
3867661	1975
3867663	1975
3867673	1975
3867677	1975
3867679	1975
3867688	1975
3867695	1975
3867707	1975
3867712	1975
3867723	1975
3867731	1975
3867753	1975
3867761	1975
3867765	1975
3867769	1975
3867770	1975
3867775	1975
3867782	1975
3867785	1975
3867787	1975
3867788	1975
3867791	1975
3867797	1975
3867799	1975
3867800	1975
3867804	1975
3867814	1975
3867819	1975
3867840	1975
3867851	1975
3867854	1975
3867893	1975
3867898	1975
3867905	1975
3867912	1975
3867922	1975
3867925	1975
3867926	1975
3867927	1975
3867932	1975
3867933	1975
3867934	1975
3867944	1975
3867945	1975
3867946	1975
3867949	1975
3867954	1975
3867965	1975
3867967	1975
3867986	1975
3867991	1975
3867995	1975
3867996	1975
3867997	1975
3868024	1975
3868030	1975
3868033	1975
3868037	1975
3868042	1975
3868047	1975
3868049	1975
3868054	1975
3868055	1975
3868057	1975
3868063	1975
3868069	1975
3868085	1975
3868089	1975
3868109	1975
3868110	1975
3868139	1975
3868157	1975
3868163	1975
3868180	1975
3868186	1975
3868191	1975
3868194	1975
3868243	1975
3868249	1975
3868261	1975
3868279	1975
3868284	1975
3868294	1975
3868297	1975
3868326	1975
3868329	1975
3868334	1975
3868355	1975
3868361	1975
3868376	1975
3868386	1975
3868399	1975
3868406	1975
3868440	1975
3868449	1975
3868466	1975
3868471	1975
3868477	1975
3868497	1975
3868503	1975
3868509	1975
3868536	1975
3868545	1975
3868550	1975
3868551	1975
3868552	1975
3868566	1975
3868567	1975
3868572	1975
3868579	1975
3868583	1975
3868589	1975
3868592	1975
3868596	1975
3868601	1975
3868602	1975
3868607	1975
3868623	1975
3868624	1975
3868626	1975
3868630	1975
3868633	1975
3868653	1975
3868670	1975
3868671	1975
3868675	1975
3868684	1975
3868685	1975
3868686	1975
3868688	1975
3868693	1975
3868697	1975
3868699	1975
3868706	1975
3868707	1975
3868724	1975
3868726	1975
3868733	1975
3868734	1975
3868739	1975
3868742	1975
3868757	1975
3868773	1975
3868775	1975
3868776	1975
3868782	1975
3868787	1975
3868789	1975
3868791	1975
3868797	1975
3868802	1975
3868804	1975
3868806	1975
3868807	1975
3868823	1975
3868827	1975
3868830	1975
