citing	cited	citing_year	state	assignee_id
4171612	3859786	1979	CA	
4171612	3859786	1979	CA	
6240731	3859786	2001	CT	57a9ba9d24d8d3e2021879b2443739ce
4385490	3859786	1983	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4385490	3859786	1983	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4498287	3859786	1985	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4498287	3859786	1985	OK	c4a9b91d3dedcd1f5c6789e0a8a36b3a
4590769	3859786	1986	CT	57a9ba9d24d8d3e2021879b2443739ce
4590769	3859786	1986	CT	57a9ba9d24d8d3e2021879b2443739ce
3982392	3859786	1976	CT	8d5907a4804a4989a3a6b6555fabb74c
3982392	3859786	1976	CT	8d5907a4804a4989a3a6b6555fabb74c
4403459	3859800	1983	WA	a2d099aa9d58b359f01da2649f5cdf9a
4403459	3859800	1983	WA	a2d099aa9d58b359f01da2649f5cdf9a
7946309	3860025	2011	CT	bb217fd06a614b2671509d0749cdf8f3
8291928	3860025	2012	CT	bb217fd06a614b2671509d0749cdf8f3
7851054	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
7851054	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
6967778	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6967778	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
7329465	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7329465	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
5901751	3860036	1999	CA	b2c7ca05911e61598e7d2afb6735744f
5901751	3860036	1999	CA	b2c7ca05911e61598e7d2afb6735744f
5976424	3860036	1999	MN	fd9d6ed41331a4af4c51bdc5946cb932
5976424	3860036	1999	MN	fd9d6ed41331a4af4c51bdc5946cb932
5991077	3860036	1999	MN	358d3cb746241ec1105de0542e47fbcd
5991077	3860036	1999	MN	358d3cb746241ec1105de0542e47fbcd
5999317	3860036	1999	MN	358d3cb746241ec1105de0542e47fbcd
5999317	3860036	1999	MN	358d3cb746241ec1105de0542e47fbcd
