citing	cited	citing_year	state_x
4355689	4109928	1982	MN
4417747	4109928	1983	MN
4619330	4109928	1986	MN
8371238	4109928	2013	MN
5259914	4197061	1993	WA
5332098	4197061	1994	WA
4851838	4451820	1989	CA
5458724	4209357	1995	CA
4341582	4209357	1982	CA
4367114	4209357	1983	CA
4810322	4209357	1989	CA
5097657	3942724	1992	CT
4480469	4329550	1984	CA
D547378	4344813	2007	CA
4305540	4174801	1981	CA
8433414	4214804	2013	MN
5385578	4214804	1995	MN
5488768	4214804	1996	MN
5522872	4214804	1996	MN
5746616	4214804	1998	MN
8065012	4214804	2011	MN
8126568	4214804	2012	MN
7236830	4214804	2007	MN
7236831	4214804	2007	MN
8195300	4214804	2012	MN
7856264	4214804	2010	MN
7353064	4214804	2008	MN
7302298	4214804	2007	MN
7620456	4214804	2009	MN
7577481	4214804	2009	MN
7729773	4214804	2010	MN
7908009	4214804	2011	MN
7221981	4214804	2007	MN
7437196	4214804	2008	MN
7299096	4214804	2007	MN
7672730	4214804	2010	MN
8606361	4214804	2013	MN
7917225	4214804	2011	MN
7305268	4214804	2007	MN
8412335	4214804	2013	MN
7146217	4214804	2006	MN
8073546	4214804	2011	MN
7483747	4214804	2009	MN
7756584	4214804	2010	MN
7565199	4214804	2009	MN
7831305	4214804	2010	MN
7565200	4214804	2009	MN
7742820	4214804	2010	MN
7684866	4214804	2010	MN
7983762	4214804	2011	MN
4458693	4169214	1984	CA
5615380	4162792	1997	CA
4249734	4162792	1981	CA
4249735	4162792	1981	CA
4249744	4162792	1981	CA
4327915	4162792	1982	CA
4440999	4162792	1984	CA
4471177	4162792	1984	CA
D691661	4162792	2013	CA
RE43114	4162792	2012	CA
4791707	4034450	1988	CA
5522046	4201889	1996	CT
5825780	4201889	1998	CT
5872904	4201889	1999	CT
5920562	4201889	1999	CT
5991301	4201889	1999	CT
6002689	4201889	1999	CT
6014378	4201889	2000	CT
6026091	4201889	2000	CT
6031840	4201889	2000	CT
6081525	4201889	2000	CT
6104718	4201889	2000	CT
6108341	4201889	2000	CT
6115380	4201889	2000	CT
6181703	4201889	2001	CT
6185219	4201889	2001	CT
6192052	4201889	2001	CT
6201812	4201889	2001	CT
6208660	4201889	2001	CT
6212193	4201889	2001	CT
6243361	4201889	2001	CT
6249529	4201889	2001	CT
6304572	4201889	2001	CT
6327270	4201889	2001	CT
6366586	4201889	2002	CT
6411624	4201889	2002	CT
6412002	4201889	2002	CT
6418526	4201889	2002	CT
6424652	4201889	2002	CT
6452928	4201889	2002	CT
6452932	4201889	2002	CT
6463052	4201889	2002	CT
6480493	4201889	2002	CT
6519697	4201889	2003	CT
6563828	4201889	2003	CT
6633561	4201889	2003	CT
6639912	4201889	2003	CT
6643282	4201889	2003	CT
6665294	4201889	2003	CT
6674759	4201889	2004	CT
6690656	4201889	2004	CT
6745240	4201889	2004	CT
6795440	4201889	2004	CT
7706361	4201889	2010	CT
8370453	4201889	2013	CT
7441106	4201889	2008	CT
7058084	4201889	2006	CT
8370476	4201889	2013	CT
7386880	4201889	2008	CT
8346861	4201889	2013	CT
8346890	4201889	2013	CT
8364754	4201889	2013	CT
8356073	4201889	2013	CT
8117298	4201889	2012	CT
8359368	4201889	2013	CT
8603290	3969051	2013	WA
4954209	3969051	1990	WA
8287266	3969051	2012	WA
6889087	4321706	2005	WA
6864755	4321706	2005	WA
8254430	4321706	2012	WA
7005935	4321706	2006	WA
7815741	4277634	2010	WV
7815876	4277634	2010	WV
8366796	4277634	2013	WV
5093113	4301820	1992	CA
6579507	3933128	2003	CA
6610263	3933128	2003	CA
7041270	3933128	2006	CA
7033548	3933128	2006	CA
7077334	4274055	2006	CT
5554186	4276658	1996	MN
5861030	4276658	1999	MN
5919226	4276658	1999	MN
6139575	4276658	2000	MN
6645244	4276658	2003	MN
4406022	4276658	1983	MN
4935030	4276658	1990	MN
5035709	4276658	1991	MN
4824727	4463465	1989	CA
7967240	4117970	2011	CA
5420400	4117970	1995	CA
5556565	4117970	1996	CA
5571436	4117970	1996	CA
5587098	4117970	1996	CA
5591369	4117970	1997	CA
5591370	4117970	1997	CA
5599472	4117970	1997	CA
5624594	4117970	1997	CA
5641422	4117970	1997	CA
5645744	4117970	1997	CA
5683607	4117970	1997	CA
5683608	4117970	1997	CA
5700995	4117970	1997	CA
5705794	4117970	1998	CA
5710414	4117970	1998	CA
5723849	4117970	1998	CA
5728309	4117970	1998	CA
5747179	4117970	1998	CA
5793024	4117970	1998	CA
5808281	4117970	1998	CA
5821506	4117970	1998	CA
5847375	4117970	1998	CA
6040563	4117970	2000	CA
4197977	4117970	1980	CA
4197978	4117970	1980	CA
6211497	4117970	2001	CA
4263375	4117970	1981	CA
7210611	4117970	2007	CA
8329312	4117970	2012	CA
7126096	4117970	2006	CA
7146727	4117970	2006	CA
5046451	3973519	1991	CA
5726894	4471464	1998	CA
5978781	4471464	1999	CA
5958096	4211543	1999	MN
5984109	4211543	1999	MN
4890947	4457737	1990	CA
5704081	4446796	1998	MN
7210414	4446796	2007	MN
6164211	4446796	2000	MN
8235327	4078750	2012	CT
4912382	4078750	1990	CT
8382027	4078750	2013	CT
4737765	4451819	1988	CA
5444912	4263375	1995	WA
5445310	4263375	1995	WA
6669078	4263375	2003	WA
6100522	4196612	2000	OK
6568592	4196612	2003	OK
7191137	4196612	2007	OK
5988638	4238127	1999	NV
6003867	4238127	1999	NV
6238288	4238127	2001	NV
8052148	4238127	2011	NV
6695700	4238127	2004	NV
8006977	4238127	2011	NV
8408993	4238127	2013	NV
7666093	4238127	2010	NV
8500546	4238127	2013	NV
4712799	4238127	1987	NV
7832727	4238127	2010	NV
8100401	4238127	2012	NV
7775870	4238127	2010	NV
7976022	4238127	2011	NV
7644861	4238127	2010	NV
8439739	4238127	2013	NV
7278635	4238127	2007	NV
8397985	4238127	2013	NV
8021222	4238127	2011	NV
8403214	4238127	2013	NV
7766329	4238127	2010	NV
8292741	4238127	2012	NV
7867080	4238127	2011	NV
7507156	4238127	2009	NV
7100916	4238127	2006	NV
7549576	4238127	2009	NV
8096554	4238127	2012	NV
7824252	4238127	2010	NV
8510567	4238127	2013	NV
7823883	4238127	2010	NV
7922175	4238127	2011	NV
7922176	4238127	2011	NV
7878506	4238127	2011	NV
4676994	4414249	1987	CT
4702538	4272148	1987	CA
5215480	4272148	1993	CA
5244415	4272148	1993	CA
5936514	4252997	1999	CA
7154451	4220954	2006	CT
7276990	4220954	2007	CT
7253699	4220954	2007	CT
4492962	4220954	1985	CT
7456803	4220954	2008	CT
7164387	4220954	2007	CT
7505435	4220954	2009	CT
7298228	4220954	2007	CT
7245269	4220954	2007	CT
7868829	4220954	2011	CT
7071888	4220954	2006	CT
7068234	4220954	2006	CT
7307589	4220954	2007	CT
8436785	4220954	2013	CT
5377519	4477537	1995	CT
5163223	4477537	1992	CT
5284043	4477537	1994	CT
7426093	4252027	2008	CA
8437103	4252027	2013	CA
8542457	4252027	2013	CA
7218476	4252027	2007	CA
5286412	4059456	1994	CA
6023842	4024631	2000	CA
5071359	4024631	1991	CA
5245751	4024631	1993	CA
4500949	4069449	1985	CA
4433631	4241672	1984	WA
4211103	4108478	1980	OK
4493000	4365295	1985	CA
5437039	4177513	1995	MN
5499369	4177513	1996	MN
6304891	4177513	2001	MN
7805727	4177513	2010	MN
6951019	4177513	2005	MN
4445406	3962938	1984	CT
4876930	3962938	1989	CT
4196417	4099240	1980	CA
4246641	4099240	1981	CA
4261040	4099240	1981	CA
4357668	4099240	1982	CA
4383218	4099240	1983	CA
4541065	4099240	1985	CA
6917900	4099240	2005	CA
5387462	4209008	1995	CT
5418007	4209008	1995	CT
5459016	4209008	1995	CT
5645929	4209008	1997	CT
5726524	4209008	1998	CT
5879827	4209008	1999	CT
5879828	4209008	1999	CT
6004494	4209008	1999	CT
6042959	4209008	2000	CT
6136412	4209008	2000	CT
6425993	4209008	2002	CT
6521324	4209008	2003	CT
6770337	4209008	2004	CT
4812352	4209008	1989	CT
5039561	4209008	1991	CT
5238729	4209008	1993	CT
7419741	4209008	2008	CT
5336558	4209008	1994	CT
5338430	4209008	1994	CT
5352651	4209008	1994	CT
5653580	4314793	1997	CT
5702430	3943937	1997	MN
5873899	3943937	1999	MN
7993781	3943937	2011	MN
6853538	3943937	2005	MN
8535831	3943937	2013	MN
6273191	3937282	2001	CA
6336505	3937282	2002	CA
6454004	3937282	2002	CA
6630021	3937282	2003	CA
6793730	3937282	2004	CA
8240385	3937282	2012	CA
7166160	3937282	2007	CA
7282093	3937282	2007	CA
8347961	3937282	2013	CA
7673687	3937282	2010	CA
7441600	3937282	2008	CA
8551242	3937282	2013	CA
7373982	3937282	2008	CA
4183068	3967319	1980	OK
4251858	4124889	1981	CA
5220651	4124889	1993	CA
7818367	4124889	2010	CA
6328265	4427168	2001	WA
6735936	4427168	2004	WA
6824092	4427168	2004	WA
6921045	4427168	2005	WA
7004047	4427168	2006	WA
6935592	4427168	2005	WA
7163607	4367114	2007	CT
RE41266	4367114	2010	CT
5891350	4367114	1999	CT
6221782	4367114	2001	CT
6513452	4367114	2003	CT
6723214	4367114	2004	CT
4585920	4367114	1986	CT
4793975	4367114	1988	CT
7845309	4367114	2010	CT
5262029	4367114	1993	CT
6863835	4367114	2005	CT
4850435	4363364	1989	OK
5726143	4291072	1998	CA
7597675	4291072	2009	CA
7713225	4291072	2010	CA
8241234	4291072	2012	CA
7794418	4291072	2010	CA
7896827	4291072	2011	CA
6182967	4398720	2001	CA
6213873	4398720	2001	CA
8562428	4398720	2013	CA
8062125	4398720	2011	CA
4827954	4398720	1989	CA
8469802	4398720	2013	CA
8317601	4398720	2012	CA
8313371	4398720	2012	CA
4123491	3968621	1978	CA
5473343	3967266	1995	CA
