citing	cited	citing_year	state
7587862	3861107	2009	NV
7530201	3861107	2009	CA
4522009	3861108	1985	MN
4072424	3861198	1978	CA
4786188	3861198	1988	MN
4836689	3861198	1989	MN
5083865	3861198	1992	CA
4279392	3861238	1981	CA
6129366	3861325	2000	MN
6401631	3861325	2002	CA
6601861	3861325	2003	MN
5118961	3861371	1992	MN
5952113	3861454	1999	CA
4369575	3861556	1983	CT
3968992	3861556	1976	CT
5261549	3861556	1993	WA
7624890	3861556	2009	MN
4086394	3861557	1978	CA
7048140	3861557	2006	OK
5667152	3861602	1997	CA
3944147	3861602	1976	CA
8307866	3861602	2012	WA
7780102	3861602	2010	ND
4039156	3861614	1977	CA
5330250	3861742	1994	CA
6627309	3861950	2003	MN
7258917	3861950	2007	MN
6153622	3862232	2000	CT
6204286	3862232	2001	CT
6441193	3862232	2002	CT
RE39558	3862232	2007	CT
6911456	3862232	2005	CT
4142117	3862437	1979	CA
4421995	3862437	1983	CA
4007382	3862437	1977	CA
4373466	3862506	1983	WA
5537795	3862524	1996	CA
4538311	3862527	1985	CA
4628653	3862527	1986	MN
7712555	3862668	2010	ND
4215878	3862669	1980	CA
4929008	3862669	1990	CA
5033569	3862669	1991	OK
4157228	3862691	1979	WA
4341486	3862691	1982	WA
6367978	3862783	2002	CA
4458961	3862785	1984	CA
3997218	3862785	1976	MN
5020449	3862785	1991	MN
8066340	3862785	2011	CA
5160188	3862785	1992	CT
6194439	3862952	2001	CT
8065943	3863208	2011	WA
7350444	3863208	2008	WA
7788999	3863208	2010	CA
6994004	3863208	2006	WA
7024975	3863208	2006	CA
7100483	3863208	2006	CA
7137326	3863208	2006	WA
7357056	3863208	2008	WA
7197969	3863208	2007	WA
7231856	3863208	2007	WA
7481140	3863208	2009	CA
7712403	3863208	2010	WA
7509899	3863208	2009	WA
4065760	3863210	1977	CA
6703593	3863210	2004	CA
7698936	3863210	2010	CT
D595183	3863303	2009	CA
6508009	3863351	2003	CA
4227347	3863398	1980	CA
5496069	3863445	1996	CA
4955193	3863445	1990	CA
5036947	3863445	1991	CA
5542357	3863727	1996	CA
5669308	3863727	1997	CA
6354389	3863727	2002	MN
6502651	3863727	2003	MN
4305476	3863727	1981	MN
5707001	3863828	1998	CA
4762341	3863828	1988	MN
4531717	3863907	1985	WA
4938163	3863909	1990	CA
6939110	3864059	2005	MN
7892535	3864081	2011	CA
4366878	3864109	1983	CA
4108461	3865095	1978	CT
6857814	3865095	2005	CA
4026032	3865095	1977	OK
5995459	3865228	1999	MN
6377526	3865228	2002	MN
5042642	3865228	1991	CA
8413763	3865329	2013	CA
3941330	3865329	1976	CA
5454223	3865514	1995	MN
4381176	3865514	1983	CA
7730722	3865514	2010	MN
5547022	3865544	1996	CA
4514319	3865544	1985	CA
6692588	3865642	2004	CA
6645325	3865659	2003	MT
5658419	3865669	1997	WV
6440315	3865728	2002	CA
8252087	3865728	2012	WA
4603114	3865728	1986	CA
7303084	3865728	2007	CA
4704256	3865728	1987	CA
7422682	3865728	2008	CA
7686976	3865728	2010	NV
8475658	3865728	2013	NV
8066874	3865728	2011	WA
7303670	3865728	2007	CA
5728469	3865897	1998	CA
7630747	3865897	2009	CA
